,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent_x,sum_sent_x,hit_count_x,positive_hits_x,negative_hits_x,section_count_x,word_count_x,avg_sent_y,sum_sent_y,hit_count_y,positive_hits_y,negative_hits_y,section_count_y,word_count_y
0,5240613,161068824,AR,2020-04-27,2021-07-01 06:55:58,AIM Tax-Exempt Funds (Invesco Tax-Exempt Funds) - Invesco Rochester New York Mun,WARNING,1.0508441233712966,18.91519422068334,1607,1085,522,69,22507,,,,,,,
1,5240613,161068824,AR,2020-04-27,2021-07-01 06:55:58,AIM Tax-Exempt Funds (Invesco Tax-Exempt Funds) - Invesco Rochester New York Mun,WARNING,1.0508441233712966,18.91519422068334,1607,1085,522,69,22507,,,,,,,
2,5240956,161070889,AR,2020-12-31,2021-07-01 06:55:58,"Memphis Light, Gas and Water Division",WARNING,0.41530382478300315,24.918229486980188,2828,1900,928,152,35714,,,,,,,
3,5240976,161071121,AR,2020-12-31,2021-07-01 06:55:58,"CNB Community Bancorp, Inc.",WARNING,0.165483880024047,5.957419680865692,1177,693,484,91,14343,,,,,,,
4,5241763,161091228,AR,2020-12-31,2021-07-01 06:56:03,Oppenheimer Holdings Inc.,SUCCESS,0.8044734305077433,9.65368116609292,1049,762,287,48,9550,,,,,,,
5,5241763,161091228,AR,2020-12-31,2021-07-01 06:56:03,Oppenheimer Holdings Inc.,SUCCESS,0.8044734305077433,9.65368116609292,1049,762,287,48,9550,,,,,,,
6,5241763,161091228,AR,2020-12-31,2021-07-01 06:56:03,Oppenheimer Holdings Inc.,SUCCESS,0.8044734305077433,9.65368116609292,1049,762,287,48,9550,,,,,,,
7,5241763,161091228,AR,2020-12-31,2021-07-01 06:56:03,Oppenheimer Holdings Inc.,SUCCESS,0.8044734305077433,9.65368116609292,1049,762,287,48,9550,,,,,,,
8,5242219,3252233,AR,2021-06-26,2021-07-04 00:49:47,LKA Gold Incorporated,SUCCESS,0.5918072587538207,14.203374210091695,1463,956,507,73,19169,,,,,,,
9,5242348,142726274,AR,2021-06-26,2021-07-04 00:49:46,Mettler-Toledo International Inc.,WARNING,0.6187485931460073,25.368692318986298,3869,2253,1616,91,43802,,,,,,,
10,5242456,272384,AR,2021-06-26,2021-07-04 00:49:37,Centric Financial Corporation,WARNING,0.19245814004271553,10.585197702349355,1429,972,457,79,17672,,,,,,,
11,5242459,3268389,AR,2021-06-26,2021-07-04 00:49:37,"American Mineral Group, Inc.",SUCCESS,-0.33202137405875815,-6.308406107116404,1544,825,719,98,21894,,,,,,,
